split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_all,param_n_epochs
3.0662111120747286,3.076290299964615,3.074516034814554,3.0723391489512992,0.004393300291439019,14,4.303299029668172,0.43447828149884254,2.0929721196492515,0.2698558406915412,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.02, 'n_epochs': 20}",50,0.002,0.02,20
3.119322124544913,3.1229316624594827,3.1287891637301968,3.1236809835781973,0.003901052792784592,163,8.17736021677653,0.24200569694946886,2.353992303212484,0.09189375000809277,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.02, 'n_epochs': 30}",50,0.002,0.02,30
3.1558887149775243,3.164912069914317,3.1657048644254737,3.1621685497724386,0.004452293384522197,200,11.753472089767456,0.4141833003465464,2.233143409093221,0.035703355612746845,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.02, 'n_epochs': 40}",50,0.002,0.02,40
3.1734698262377186,3.1849686858334736,3.1781711900443943,3.178869900705196,0.004720317110912486,211,14.59522557258606,0.07960864744290613,2.250314394632975,0.19240823460864379,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.02, 'n_epochs': 50}",50,0.002,0.02,50
3.0540673541381986,3.0624696624766603,3.0620532792312765,3.059530098615378,0.0038664821797061797,6,5.811292966206868,0.28458742278959587,2.338752031326294,0.12489019231153738,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.05, 'n_epochs': 20}",50,0.002,0.05,20
3.0904596493726917,3.1037660285907007,3.101875858410007,3.0987005121244664,0.005878041056802686,78,8.598937034606934,0.2639291774522358,2.222776254018148,0.17066486016634533,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.05, 'n_epochs': 30}",50,0.002,0.05,30
3.1278294749932414,3.132729434996044,3.1348001567831867,3.131786355590824,0.002922858216150907,176,11.766401688257853,0.3527607484970445,2.3593711058298745,0.11027628387269235,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.05, 'n_epochs': 40}",50,0.002,0.05,40
3.1458869570670145,3.154107182529872,3.1517831026494036,3.1505924140820967,0.003459897022869216,195,14.229743003845215,0.24774067033285577,2.2868348757425943,0.2828440528253883,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.05, 'n_epochs': 50}",50,0.002,0.05,50
3.045706891421271,3.0550990870264254,3.051894407079613,3.050900128509103,0.0038982711534047655,1,6.2701499462127686,0.09182600244707335,2.300025304158529,0.053639948986858005,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.1, 'n_epochs': 20}",50,0.002,0.1,20
3.0723531713577072,3.076857167142555,3.078691198327837,3.0759671789426997,0.0026629189142034593,19,8.995601733525595,0.7764189913737273,2.1258909702301025,0.14030191824759577,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.1, 'n_epochs': 30}",50,0.002,0.1,30
3.1015259221830265,3.107051587290574,3.1046834859567065,3.1044203318101027,0.0022635048485109338,110,11.287224769592285,0.3982987857297322,2.1622910499572754,0.007973740033359747,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.1, 'n_epochs': 40}",50,0.002,0.1,40
3.118502037799594,3.126926061637064,3.1227385097503437,3.122722203062334,0.003439112660228994,161,14.252209583918253,0.2997209784505699,2.0673882166544595,0.31587825984792767,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.1, 'n_epochs': 50}",50,0.002,0.1,50
3.1676357185681345,3.175759523162505,3.1799466942867163,3.1744473120057854,0.005110867791660061,206,6.0392889976501465,0.13480465292127183,2.340883493423462,0.3311131138600264,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.02, 'n_epochs': 20}",50,0.005,0.02,20
3.1902857099754427,3.1929379002819553,3.196009697930054,3.193077769395817,0.0023389003189380536,218,9.249530712763468,0.383143477070317,2.2924605210622153,0.07771897266556888,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.02, 'n_epochs': 30}",50,0.005,0.02,30
